iter	Passed	Remaining
0	1	156
1	2	139
2	4	132
3	5	122
4	6	124
5	7	123
6	9	121
7	10	117
8	11	115
9	12	116
10	14	116
11	15	116
12	17	113
13	18	110
14	19	108
15	20	107
16	21	105
17	22	104
18	24	102
19	25	101
20	26	100
21	28	99
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	88
30	39	86
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	51	73
41	51	71
42	52	70
43	53	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	65	56
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	105	15
87	106	14
88	107	13
89	108	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	121	0
